                                           The SAS System      10:10 Tuesday, September 14, 2010   1

                                         The FREQ Procedure

                                           Porfolio Date
 
                                                         Cumulative    Cumulative
                   port_date    Frequency     Percent     Frequency      Percent
                  ---------------------------------------------------------------
                  1983-06-30          13        0.00            13         0.00  
                  1983-09-30           1        0.00            14         0.00  
                  1983-10-31          17        0.00            31         0.00  
                  1983-11-30          66        0.01            97         0.01  
                  1983-12-31         351        0.03           448         0.04  
                  1984-01-31         108        0.01           556         0.05  
                  1984-02-29         175        0.02           731         0.07  
                  1984-03-31        1004        0.10          1735         0.17  
                  1984-04-30         755        0.07          2490         0.24  
                  1984-05-31         275        0.03          2765         0.27  
                  1984-06-30        1788        0.18          4553         0.45  
                  1984-07-31         506        0.05          5059         0.50  
                  1984-08-31         413        0.04          5472         0.54  
                  1984-09-30        1538        0.15          7010         0.69  
                  1984-10-31         569        0.06          7579         0.74  
                  1984-11-30         431        0.04          8010         0.79  
                  1984-12-31        2163        0.21         10173         1.00  
                  1985-01-31         386        0.04         10559         1.03  
                  1985-02-28         315        0.03         10874         1.07  
                  1985-03-31        1901        0.19         12775         1.25  
                  1985-04-30         646        0.06         13421         1.32  
                  1985-05-31         421        0.04         13842         1.36  
                  1985-06-30        2301        0.23         16143         1.58  
                  1985-07-31         551        0.05         16694         1.64  
                  1985-08-31         345        0.03         17039         1.67  
                  1985-09-30        2197        0.22         19236         1.89  
                  1985-10-31         489        0.05         19725         1.93  
                  1985-11-30         214        0.02         19939         1.95  
                  1985-12-31        1536        0.15         21475         2.10  
                  1986-01-31         225        0.02         21700         2.13  
                  1986-02-28         229        0.02         21929         2.15  
                  1986-03-31        2499        0.24         24428         2.39  
                  1986-04-30         734        0.07         25162         2.47  
                  1986-05-31         242        0.02         25404         2.49  
                  1986-06-30        2694        0.26         28098         2.75  
                  1986-07-31         626        0.06         28724         2.82  
                  1986-08-31         109        0.01         28833         2.83  
                  1986-09-30        3039        0.30         31872         3.12  
                  1986-10-31         527        0.05         32399         3.18  
                  1986-11-30         264        0.03         32663         3.20  
                  1986-12-31        2685        0.26         35348         3.46  
                  1987-01-31         261        0.03         35609         3.49  
                  1987-02-28          58        0.01         35667         3.50  
                  1987-03-31        1882        0.18         37549         3.68  
                  1987-04-30         780        0.08         38329         3.76  
                  1987-05-31         367        0.04         38696         3.79  
                  1987-06-30        3562        0.35         42258         4.14  
                  1987-07-31         389        0.04         42647         4.18  
                  1987-08-31         104        0.01         42751         4.19  
                  1987-09-30        1765        0.17         44516         4.36  
                  1987-10-31         197        0.02         44713         4.38  
                  1987-11-30         330        0.03         45043         4.41  
                  1987-12-31        2808        0.28         47851         4.69  
                  1988-01-31         314        0.03         48165         4.72  
                  1988-02-29         333        0.03         48498         4.75  
                  1988-03-31        1131        0.11         49629         4.86  
                  1988-04-30         746        0.07         50375         4.94  
                  1988-05-31         401        0.04         50776         4.98  
                  1988-06-30        1453        0.14         52229         5.12  
                  1988-07-31         302        0.03         52531         5.15  
                  1988-08-31         321        0.03         52852         5.18  
                  1988-09-30         903        0.09         53755         5.27  
                  1988-10-31         979        0.10         54734         5.36  
                  1988-11-30        1004        0.10         55738         5.46  
                  1988-12-31        2096        0.21         57834         5.67  
                  1989-01-31         327        0.03         58161         5.70  
                  1989-02-28         304        0.03         58465         5.73  
                  1989-03-31        2289        0.22         60754         5.95  
                  1989-04-30        1145        0.11         61899         6.07  
                  1989-05-31         499        0.05         62398         6.12  
                  1989-06-30        3021        0.30         65419         6.41  
                  1989-07-31         315        0.03         65734         6.44  
                  1989-08-31         344        0.03         66078         6.48  
                  1989-09-30        2224        0.22         68302         6.69  
                  1989-10-31        1217        0.12         69519         6.81  
                  1989-11-30         471        0.05         69990         6.86  
                  1989-12-31        2952        0.29         72942         7.15  
                  1990-01-31         376        0.04         73318         7.19  
                  1990-02-28         339        0.03         73657         7.22  
                  1990-03-31        2677        0.26         76334         7.48  
                  1990-04-30         956        0.09         77290         7.57  
                  1990-05-31         453        0.04         77743         7.62  
                  1990-06-30        2357        0.23         80100         7.85  
                  1990-07-31         436        0.04         80536         7.89  
                  1990-08-31         307        0.03         80843         7.92  
                  1990-09-30        1963        0.19         82806         8.12  
                  1990-10-31         977        0.10         83783         8.21  
                  1990-11-30         485        0.05         84268         8.26  
                  1990-12-31        3599        0.35         87867         8.61  
                  1991-01-31         294        0.03         88161         8.64  
                  1991-02-28         457        0.04         88618         8.69  
                  1991-03-31        1880        0.18         90498         8.87  
                  1991-04-30        1230        0.12         91728         8.99  
                  1991-05-31         540        0.05         92268         9.04  
                  1991-06-30        3763        0.37         96031         9.41  
                  1991-07-31         363        0.04         96394         9.45  
                  1991-08-31         390        0.04         96784         9.49  
                  1991-09-30        3151        0.31         99935         9.79  
                  1991-10-31        1327        0.13        101262         9.92  
                  1991-11-30        1422        0.14        102684        10.06  
                  1991-12-31        3693        0.36        106377        10.43  
                  1992-01-31         375        0.04        106752        10.46  
                  1992-02-29         519        0.05        107271        10.51  
                  1992-03-31        2791        0.27        110062        10.79  
                  1992-04-30        1535        0.15        111597        10.94  
                  1992-05-31        1186        0.12        112783        11.05  
                  1992-06-30        5052        0.50        117835        11.55  
                  1992-07-31         388        0.04        118223        11.59  
                  1992-08-31         550        0.05        118773        11.64  
                  1992-09-30        4211        0.41        122984        12.05  
                  1992-10-31        1908        0.19        124892        12.24  
                  1992-11-30         903        0.09        125795        12.33  
                  1992-12-31        5273        0.52        131068        12.85  
                  1993-01-31         632        0.06        131700        12.91  
                  1993-02-28         908        0.09        132608        13.00  
                  1993-03-31        5069        0.50        137677        13.49  
                  1993-04-30        2076        0.20        139753        13.70  
                  1993-05-31        1311        0.13        141064        13.83  
                  1993-06-30        5807        0.57        146871        14.39  
                  1993-07-31         542        0.05        147413        14.45  
                  1993-08-31        1377        0.13        148790        14.58  
                  1993-09-30        4940        0.48        153730        15.07  
                  1993-10-31        4070        0.40        157800        15.47  
                  1993-11-30        1545        0.15        159345        15.62  
                  1993-12-31        6390        0.63        165735        16.24  
                  1994-01-31        1264        0.12        166999        16.37  
                  1994-02-28         904        0.09        167903        16.46  
                  1994-03-31        3850        0.38        171753        16.83  
                  1994-04-30        4117        0.40        175870        17.24  
                  1994-05-31        2066        0.20        177936        17.44  
                  1994-06-30        6573        0.64        184509        18.08  
                  1994-07-31         897        0.09        185406        18.17  
                  1994-08-31        1390        0.14        186796        18.31  
                  1994-09-30        5269        0.52        192065        18.82  
                  1994-10-31        4933        0.48        196998        19.31  
                  1994-11-30        2330        0.23        199328        19.54  
                  1994-12-31        7481        0.73        206809        20.27  
                  1995-01-31         989        0.10        207798        20.37  
                  1995-02-28        2294        0.22        210092        20.59  
                  1995-03-31        5701        0.56        215793        21.15  
                  1995-04-30        4884        0.48        220677        21.63  
                  1995-05-31        1807        0.18        222484        21.81  
                  1995-06-30        9548        0.94        232032        22.74  
                  1995-07-31        1372        0.13        233404        22.88  
                  1995-08-31        1824        0.18        235228        23.05  
                  1995-09-30       10123        0.99        245351        24.05  
                  1995-10-31        6590        0.65        251941        24.69  
                  1995-11-30        4055        0.40        255996        25.09  
                  1995-12-31       15231        1.49        271227        26.58  
                  1996-01-31        1377        0.13        272604        26.72  
                  1996-02-29        2856        0.28        275460        27.00  
                  1996-03-31        7130        0.70        282590        27.70  
                  1996-04-30        6560        0.64        289150        28.34  
                  1996-05-31        2792        0.27        291942        28.61  
                  1996-06-30       11315        1.11        303257        29.72  
                  1996-07-31        1474        0.14        304731        29.87  
                  1996-08-31        1804        0.18        306535        30.04  
                  1996-09-30        8452        0.83        314987        30.87  
                  1996-10-31        4967        0.49        319954        31.36  
                  1996-11-30        2226        0.22        322180        31.58  
                  1996-12-31       10620        1.04        332800        32.62  
                  1997-01-31        1466        0.14        334266        32.76  
                  1997-02-28        2160        0.21        336426        32.97  
                  1997-03-31        7453        0.73        343879        33.70  
                  1997-04-30        4621        0.45        348500        34.16  
                  1997-05-31        1818        0.18        350318        34.33  
                  1997-06-30       10579        1.04        360897        35.37  
                  1997-07-31        1658        0.16        362555        35.53  
                  1997-08-31        4320        0.42        366875        35.96  
                  1997-09-30       10011        0.98        376886        36.94  
                  1997-10-31        4700        0.46        381586        37.40  
                  1997-11-30        4362        0.43        385948        37.83  
                  1997-12-31       10871        1.07        396819        38.89  
                  1998-01-31        2554        0.25        399373        39.14  
                  1998-02-28        2295        0.22        401668        39.37  
                  1998-03-31       10032        0.98        411700        40.35  
                  1998-04-30        4330        0.42        416030        40.77  
                  1998-05-31        3052        0.30        419082        41.07  
                  1998-06-30       10189        1.00        429271        42.07  
                  1998-07-31        1796        0.18        431067        42.25  
                  1998-08-31        3515        0.34        434582        42.59  
                  1998-09-30        9855        0.97        444437        43.56  
                  1998-10-31        4214        0.41        448651        43.97  
                  1998-11-30        2693        0.26        451344        44.24  
                  1998-12-31       10423        1.02        461767        45.26  
                  1999-01-31        2660        0.26        464427        45.52  
                  1999-02-28        4379        0.43        468806        45.95  
                  1999-03-31        8141        0.80        476947        46.74  
                  1999-04-30        3329        0.33        480276        47.07  
                  1999-05-31        2123        0.21        482399        47.28  
                  1999-06-30        6436        0.63        488835        47.91  
                  1999-07-31        2400        0.24        491235        48.14  
                  1999-08-31        2796        0.27        494031        48.42  
                  1999-09-30        6364        0.62        500395        49.04  
                  1999-10-31        3436        0.34        503831        49.38  
                  1999-11-30        2501        0.25        506332        49.62  
                  1999-12-31        8197        0.80        514529        50.43  
                  2000-01-31        2963        0.29        517492        50.72  
                  2000-02-29        4982        0.49        522474        51.21  
                  2000-03-31        8182        0.80        530656        52.01  
                  2000-04-30        1969        0.19        532625        52.20  
                  2000-05-31        3948        0.39        536573        52.59  
                  2000-06-30        8500        0.83        545073        53.42  
                  2000-07-31        2832        0.28        547905        53.70  
                  2000-08-31        3455        0.34        551360        54.04  
                  2000-09-30        7791        0.76        559151        54.80  
                  2000-10-31        3983        0.39        563134        55.19  
                  2000-11-30        5403        0.53        568537        55.72  
                  2000-12-31        9632        0.94        578169        56.66  
                  2001-01-31        3964        0.39        582133        57.05  
                  2001-02-28        4967        0.49        587100        57.54  
                  2001-03-31        9097        0.89        596197        58.43  
                  2001-04-30        4762        0.47        600959        58.90  
                  2001-05-31        4036        0.40        604995        59.29  
                  2001-06-30        9029        0.88        614024        60.18  
                  2001-07-31        4113        0.40        618137        60.58  
                  2001-08-31        4430        0.43        622567        61.02  
                  2001-09-30       10602        1.04        633169        62.06  
                  2001-10-31        5377        0.53        638546        62.58  
                  2001-11-30        4619        0.45        643165        63.03  
